Median Household Income,Per Capita Income,Gini Index of Income Inequality,Total Population,Median Age,Median Home Value,State Code (FIPS),Year,Unemployment Rate,Percent Foreigners,State Name,State Code (USPS)
62212.0,35046.0,0.4771,5108468.0,39.6,216600.0,01,2023,0.018803876230603773,0.039765933739821804,Alabama,AL
86631.0,45792.0,0.4492,733406.0,36.5,347500.0,02,2023,0.02386808943477419,0.0744076268806091,Alaska,AK
77315.0,41290.0,0.465,7431344.0,39.3,411200.0,04,2023,0.020882494472063196,0.13199859944580683,Arizona,AZ
58700.0,33012.0,0.474,3067732.0,38.9,195700.0,05,2023,0.019463890587574143,0.052918573069616254,Arkansas,AR
95521.0,48013.0,0.487,38965193.0,38.2,725800.0,06,2023,0.028508931034936746,0.273064655422084,California,CA
92911.0,51768.0,0.4575,5877610.0,37.9,550300.0,08,2023,0.021154176612602743,0.09580441710150894,Colorado,CO
91665.0,53119.0,0.4954,3617176.0,41.5,367800.0,09,2023,0.025086697467858906,0.16327875668753747,Connecticut,CT
81361.0,44350.0,0.4557,1031890.0,42.0,359700.0,10,2023,0.017532876566300672,0.11157100078496739,Delaware,DE
108210.0,78479.0,0.5163,678972.0,34.9,715500.0,11,2023,0.03149761698567835,0.14055807897822,District of Columbia,DC
73311.0,41902.0,0.4829,22610726.0,42.8,381000.0,12,2023,0.020342071280683337,0.22099573450228888,Florida,FL
74632.0,39685.0,0.4787,11029227.0,37.9,323000.0,13,2023,0.02243049308895356,0.11555315707982074,Georgia,GA
95322.0,43794.0,0.4512,1435138.0,41.4,846400.0,15,2023,0.017018572429968407,0.17820934293426835,Hawaii,HI
74942.0,37426.0,0.4404,1964726.0,37.8,428600.0,16,2023,0.01776023730535454,0.057009985107338124,Idaho,ID
80306.0,45043.0,0.481,12549689.0,39.5,263300.0,17,2023,0.02498316890561989,0.14971606069281876,Illinois,IL
69477.0,37299.0,0.4536,6862199.0,38.3,225900.0,18,2023,0.018648832538957265,0.06304859418970508,Indiana,IN
71433.0,39518.0,0.4464,3207004.0,39.1,213300.0,19,2023,0.014709367372164175,0.05881034136533662,Iowa,IA
70333.0,38361.0,0.4518,2940547.0,37.9,219800.0,20,2023,0.01695840943878809,0.07053823659339571,Kansas,KS
61118.0,34676.0,0.4759,4526154.0,39.2,211800.0,21,2023,0.019762252897272164,0.04455703451539651,Kentucky,KY
58229.0,34102.0,0.4967,4573749.0,38.7,215600.0,22,2023,0.02275901016868219,0.04868478790593887,Louisiana,LA
73733.0,42936.0,0.4509,1395722.0,44.9,310700.0,23,2023,0.016615773055092632,0.03829415886544742,Maine,ME
98678.0,50728.0,0.4561,6180253.0,39.8,413600.0,24,2023,0.0213902246396709,0.17020193186266,Maryland,MD
99858.0,55897.0,0.4879,7001399.0,40.3,570800.0,25,2023,0.022010886681361825,0.1804753592817664,Massachusetts,MA
69183.0,38952.0,0.4658,10037261.0,40.5,236100.0,26,2023,0.022450048872894708,0.07348140095191308,Michigan,MI
85086.0,46530.0,0.4541,5737915.0,39.1,328600.0,27,2023,0.016670689614607395,0.08632961624562233,Minnesota,MN
54203.0,30807.0,0.4843,2939690.0,39.3,169800.0,28,2023,0.021987692579829847,0.02556902258401396,Mississippi,MS
68545.0,38699.0,0.4608,6196156.0,39.3,233600.0,29,2023,0.01757428315232864,0.04790583064725937,Missouri,MO
70804.0,40197.0,0.4601,1132812.0,40.6,392300.0,30,2023,0.013866378534125697,0.021736175111139358,Montana,MT
74590.0,41436.0,0.4634,1978379.0,37.4,245200.0,31,2023,0.014343055602591819,0.07700294028596139,Nebraska,NE
76364.0,40463.0,0.4632,3194176.0,39.4,441100.0,32,2023,0.023297401270311966,0.1924687305896732,Nevada,NV
96838.0,51587.0,0.4446,1402054.0,43.4,415400.0,33,2023,0.014372484939952385,0.06766715119389125,New Hampshire,NH
99781.0,52583.0,0.4794,9290841.0,40.4,461000.0,34,2023,0.025578631686840835,0.2422203759595068,New Jersey,NJ
62268.0,35510.0,0.4771,2114371.0,39.9,256300.0,35,2023,0.02259111575026332,0.10201473629746151,New Mexico,NM
82095.0,48847.0,0.5157,19571216.0,40.2,420200.0,36,2023,0.025886638827142882,0.23084901827254883,New York,NY
70804.0,40414.0,0.4732,10835491.0,39.4,308600.0,37,2023,0.0202814990109816,0.09183958530351785,North Carolina,NC
76525.0,42814.0,0.4451,783926.0,36.3,246700.0,38,2023,0.015421098420003929,0.03966700938609001,North Dakota,ND
67769.0,39395.0,0.4695,11785935.0,39.9,220200.0,39,2023,0.020651649614561764,0.05276314522352278,Ohio,OH
62138.0,34206.0,0.4737,4053824.0,37.1,208600.0,40,2023,0.021908449898170222,0.06113437583871426,Oklahoma,OK
80160.0,44623.0,0.4636,4233358.0,40.7,484800.0,41,2023,0.021339324479526654,0.09606841660922606,Oregon,OR
73824.0,42605.0,0.4774,12961683.0,41.1,259900.0,42,2023,0.021853720693524134,0.07956682785715405,Pennsylvania,PA
84972.0,46525.0,0.4661,1095962.0,40.8,411800.0,44,2023,0.02555928034001179,0.14708174188521134,Rhode Island,RI
67804.0,38097.0,0.4715,5373555.0,40.5,272900.0,45,2023,0.020988898410828585,0.058888017336753785,South Carolina,SC
71810.0,40263.0,0.462,919318.0,38.5,268200.0,46,2023,0.013860274681883744,0.043448512919359784,South Dakota,SD
67631.0,38538.0,0.476,7126489.0,39.1,307300.0,47,2023,0.019937026493691355,0.060621717089579454,Tennessee,TN
75780.0,39775.0,0.479,30503301.0,35.9,296900.0,48,2023,0.022491139565517845,0.17884267673193796,Texas,TX
93421.0,40096.0,0.4225,3417734.0,32.3,517700.0,49,2023,0.01774538334463712,0.08888462355467101,Utah,UT
81211.0,46029.0,0.4549,647464.0,43.7,332000.0,50,2023,0.014317398341838311,0.04486272595850889,Vermont,VT
89931.0,48689.0,0.4723,8715698.0,39.3,382900.0,51,2023,0.018889020707234232,0.13349315224093355,Virginia,VA
94605.0,52011.0,0.4703,7812880.0,38.6,576000.0,53,2023,0.023344016547035152,0.15537586651785257,Washington,WA
55948.0,32766.0,0.4679,1770071.0,42.8,163700.0,54,2023,0.020255119709887342,0.018262544270823036,West Virginia,WV
74631.0,41785.0,0.4479,5910955.0,40.5,272500.0,55,2023,0.0147114975498883,0.05208955236505776,Wisconsin,WI
72415.0,39966.0,0.4455,584057.0,39.3,298700.0,56,2023,0.01630320328324119,0.036431375704768544,Wyoming,WY
59674.0,33777.0,0.4851,5074296.0,39.6,200900.0,01,2022,0.02034548240780593,0.037686804238459874,Alabama,AL
88121.0,43054.0,0.4278,733583.0,35.9,336900.0,02,2022,0.0224705316235518,0.07507262300244144,Alaska,AK
74568.0,39819.0,0.4665,7359197.0,38.8,402800.0,04,2022,0.02091763544310609,0.13081427226367223,Arizona,AZ
55432.0,31380.0,0.4799,3045637.0,38.9,179800.0,05,2022,0.020474862894034974,0.05124478064851458,Arkansas,AR
91551.0,46661.0,0.4953,39029342.0,37.9,715900.0,06,2022,0.027180114899195584,0.2671842379510267,California,CA
89302.0,49071.0,0.4566,5839926.0,37.7,531100.0,08,2022,0.019391341602616196,0.09546833298915089,Colorado,CO
88429.0,51581.0,0.5008,3626205.0,40.9,347200.0,09,2022,0.025535511643715675,0.1567233512721978,Connecticut,CT
82174.0,42571.0,0.4407,1018396.0,41.5,337200.0,10,2022,0.02186968526977718,0.09928357927564523,Delaware,DE
101027.0,71699.0,0.5111,671803.0,34.9,711100.0,11,2022,0.030066849954525358,0.1487013305984046,District of Columbia,DC
69303.0,40278.0,0.4902,22244823.0,42.7,354100.0,12,2022,0.019549492481913656,0.2165570389119302,Florida,FL
72837.0,38378.0,0.4736,10912876.0,37.6,297400.0,13,2022,0.02105017962267692,0.10703154695425844,Georgia,GA
92458.0,42710.0,0.4574,1440196.0,40.8,820100.0,15,2022,0.01763301661718266,0.1712843251890715,Hawaii,HI
72785.0,35980.0,0.4434,1939033.0,37.5,432500.0,16,2022,0.014547973139188451,0.059812287877514206,Idaho,ID
76708.0,43317.0,0.4837,12582032.0,39.1,251600.0,17,2022,0.025020918719647192,0.1438638846253133,Illinois,IL
66785.0,35984.0,0.4561,6833037.0,38.2,208700.0,18,2022,0.018222204855615445,0.0606649722517235,Indiana,IN
69588.0,38917.0,0.4514,3200517.0,38.9,194600.0,19,2022,0.015741519260794427,0.05959255957709333,Iowa,IA
68925.0,37919.0,0.4632,2937150.0,37.6,206600.0,20,2022,0.018668777556474815,0.07067497403946002,Kansas,KS
59341.0,33980.0,0.4845,4512310.0,39.4,196300.0,21,2022,0.020713559130467542,0.04009010905722346,Kentucky,KY
55416.0,32171.0,0.4915,4590241.0,38.2,209200.0,22,2022,0.025433087282345307,0.042022848037826334,Louisiana,LA
69543.0,41188.0,0.4601,1385340.0,45.1,290600.0,23,2022,0.0170304762729727,0.04072574241702398,Maine,ME
94991.0,49236.0,0.4589,6164660.0,39.7,398100.0,24,2022,0.02124804936525291,0.16703435388164148,Maryland,MD
94488.0,54025.0,0.4976,6981974.0,40.3,534700.0,25,2022,0.022650614281863553,0.18044624629080544,Massachusetts,MA
66986.0,38151.0,0.4685,10034118.0,40.3,224400.0,26,2022,0.0233298033768389,0.06928391713153065,Michigan,MI
82338.0,45021.0,0.456,5717184.0,39.0,314600.0,27,2022,0.017461568492460625,0.08725029664953936,Minnesota,MN
52719.0,29045.0,0.4806,2940057.0,38.9,162500.0,28,2022,0.022045150825307128,0.02226079290299474,Mississippi,MS
64811.0,36640.0,0.4687,6177957.0,39.1,221200.0,29,2022,0.018680447274074585,0.040883256390421625,Missouri,MO
67631.0,38329.0,0.4652,1122867.0,40.2,366400.0,30,2022,0.015525436227086556,0.023400812384725883,Montana,MT
69597.0,38997.0,0.461,1967923.0,37.4,232400.0,31,2022,0.012434429599125576,0.072446432101256,Nebraska,NE
72333.0,38183.0,0.4685,3177772.0,39.0,434700.0,32,2022,0.027848127556036117,0.18911268649859084,Nevada,NV
89992.0,49281.0,0.4466,1395231.0,43.3,384700.0,33,2022,0.014077955550012865,0.062176800830830166,New Hampshire,NH
96346.0,51272.0,0.4815,9261699.0,40.4,428900.0,34,2022,0.02694138516054128,0.2354948050028402,New Jersey,NJ
59726.0,33916.0,0.4796,2113344.0,39.4,243100.0,35,2022,0.022298310166257836,0.09315710078434936,New Mexico,NM
79557.0,47421.0,0.5208,19677151.0,40.0,400400.0,36,2022,0.026286224057537597,0.22664622536057177,New York,NY
67481.0,38701.0,0.4768,10698973.0,39.2,280600.0,37,2022,0.018753856094412054,0.08568925260396489,North Carolina,NC
71970.0,41800.0,0.4678,779261.0,36.2,243100.0,38,2022,0.011540420988603304,0.04921970944266427,North Dakota,ND
65720.0,37932.0,0.4691,11756058.0,39.9,204100.0,39,2022,0.01891918192305618,0.04984136689356245,Ohio,OH
59673.0,32930.0,0.4743,4019800.0,37.1,191700.0,40,2022,0.01982959351211503,0.06038957162047863,Oklahoma,OK
75657.0,42474.0,0.4679,4240137.0,40.5,475600.0,41,2022,0.02196579968996285,0.0992758017016903,Oregon,OR
71798.0,41489.0,0.4778,12972008.0,40.9,245500.0,42,2022,0.022179758137676142,0.0754064443993559,Pennsylvania,PA
81854.0,44538.0,0.464,1093734.0,40.7,383900.0,44,2022,0.024382528110125496,0.14408805065948393,Rhode Island,RI
64115.0,36675.0,0.4757,5282634.0,40.5,254600.0,45,2022,0.021139454294959673,0.05174975211229852,South Carolina,SC
69728.0,37618.0,0.4487,909824.0,38.5,245000.0,46,2022,0.014628103897017445,0.03479464160101294,South Dakota,SD
65254.0,36704.0,0.4694,7051339.0,39.2,284800.0,47,2022,0.01723403172078381,0.05565652140678529,Tennessee,TN
72284.0,38123.0,0.4796,30029572.0,35.6,275400.0,48,2022,0.02234177696571899,0.17213452126457213,Texas,TX
89168.0,38514.0,0.4264,3380800.0,32.1,499500.0,49,2022,0.014200189304306674,0.08645853052531945,Utah,UT
73991.0,42251.0,0.4452,647064.0,43.2,304700.0,50,2022,0.015474512567535823,0.04242856966235179,Vermont,VT
85873.0,47199.0,0.4755,8683619.0,39.0,365700.0,51,2022,0.018552748571764838,0.1272543164318932,Virginia,VA
91306.0,50764.0,0.4742,7785786.0,38.4,569500.0,53,2022,0.020997109347726743,0.15263609865465091,Washington,WA
54329.0,31922.0,0.4804,1775156.0,42.9,155100.0,54,2022,0.020607766303355875,0.018200653914360203,West Virginia,WV
70996.0,40188.0,0.451,5892539.0,40.4,252800.0,55,2022,0.014672961859056003,0.05001935498432849,Wisconsin,WI
70042.0,38114.0,0.4437,581381.0,39.1,292300.0,56,2022,0.019623964319439403,0.030723398253468894,Wyoming,WY
