,Median Household Income,Per Capita Income,Gini Index of Income Inequality,Total Population,Median Age,Median Home Value,State Code (FIPS),Year,Unemployment Rate,Percent Foreigners,State Name,State Code (USPS),MDS_D1,MDS_D2,MDS_D3,KMeans_Cluster
0,62212.0,35046.0,0.4771,5108468.0,39.6,216600.0,01,2023,0.018803876230603773,0.039765933739821804,Alabama,AL,0.9523452556413541,0.2124684506053139,-1.7079630188012107,2
1,86631.0,45792.0,0.4492,733406.0,36.5,347500.0,02,2023,0.02386808943477419,0.0744076268806091,Alaska,AK,-1.8781916069500735,-0.77167927924868,-0.4168239622590172,0
2,77315.0,41290.0,0.465,7431344.0,39.3,411200.0,04,2023,0.020882494472063196,0.13199859944580683,Arizona,AZ,-0.23828505967355418,-0.20178514031343903,0.3764917562511292,0
3,58700.0,33012.0,0.474,3067732.0,38.9,195700.0,05,2023,0.019463890587574143,0.052918573069616254,Arkansas,AR,0.8430260794234514,-0.10126879162542715,-2.0497798658607174,2
4,95521.0,48013.0,0.487,38965193.0,38.2,725800.0,06,2023,0.028508931034936746,0.273064655422084,California,CA,0.9999515993814959,-3.416454584209976,5.279469883598072,1
5,92911.0,51768.0,0.4575,5877610.0,37.9,550300.0,08,2023,0.021154176612602743,0.09580441710150894,Colorado,CO,-2.031373541924381,-0.07811073819035304,1.0896191543431324,1
6,91665.0,53119.0,0.4954,3617176.0,41.5,367800.0,09,2023,0.025086697467858906,0.16327875668753747,Connecticut,CT,0.663756256972821,0.26557226697536,2.5843645302769387,1
7,81361.0,44350.0,0.4557,1031890.0,42.0,359700.0,10,2023,0.017532876566300672,0.11157100078496739,Delaware,DE,-0.13070561581634388,1.6278287811393544,0.3739164066993488,0
8,108210.0,78479.0,0.5163,678972.0,34.9,715500.0,11,2023,0.03149761698567835,0.14055807897822,District of Columbia,DC,-4.1363157294590005,-3.800601488976752,3.83186367702309,1
9,73311.0,41902.0,0.4829,22610726.0,42.8,381000.0,12,2023,0.020342071280683337,0.22099573450228888,Florida,FL,2.4500900022295413,-0.3694303537843115,2.2375941706586246,1
10,74632.0,39685.0,0.4787,11029227.0,37.9,323000.0,13,2023,0.02243049308895356,0.11555315707982074,Georgia,GA,0.19017772182812145,-1.150584216320208,-0.10938175014334835,2
11,95322.0,43794.0,0.4512,1435138.0,41.4,846400.0,15,2023,0.017018572429968407,0.17820934293426835,Hawaii,HI,-2.362813865403366,2.085721061856493,2.80117766882463,1
12,74942.0,37426.0,0.4404,1964726.0,37.8,428600.0,16,2023,0.01776023730535454,0.057009985107338124,Idaho,ID,-1.6244607870281929,0.6915609078581186,-1.092130712729524,0
13,80306.0,45043.0,0.481,12549689.0,39.5,263300.0,17,2023,0.02498316890561989,0.14971606069281876,Illinois,IL,0.7627214835857649,-1.1831855839902299,0.8946941466009005,1
14,69477.0,37299.0,0.4536,6862199.0,38.3,225900.0,18,2023,0.018648832538957265,0.06304859418970508,Indiana,IN,-0.21988525805452586,0.028611027600194874,-1.4982307103264343,0
15,71433.0,39518.0,0.4464,3207004.0,39.1,213300.0,19,2023,0.014709367372164175,0.05881034136533662,Iowa,IA,-0.5146523619407063,1.1689772475241214,-1.7135709369268939,0
16,70333.0,38361.0,0.4518,2940547.0,37.9,219800.0,20,2023,0.01695840943878809,0.07053823659339571,Kansas,KS,-0.5868866366074611,0.3023809353199046,-1.692010172782681,0
17,61118.0,34676.0,0.4759,4526154.0,39.2,211800.0,21,2023,0.019762252897272164,0.04455703451539651,Kentucky,KY,0.8963192691448767,-0.036967795944487,-1.763850847290871,2
18,58229.0,34102.0,0.4967,4573749.0,38.7,215600.0,22,2023,0.02275901016868219,0.04868478790593887,Louisiana,LA,1.5274085986457675,-1.0410024576193628,-1.7249362202406746,2
19,73733.0,42936.0,0.4509,1395722.0,44.9,310700.0,23,2023,0.016615773055092632,0.03829415886544742,Maine,ME,0.9451684396213695,2.805201800891404,-0.28428863291482004,0
20,98678.0,50728.0,0.4561,6180253.0,39.8,413600.0,24,2023,0.0213902246396709,0.17020193186266,Maryland,MD,-1.2024680007325468,0.3664357387668379,1.8414593211655144,1
21,99858.0,55897.0,0.4879,7001399.0,40.3,570800.0,25,2023,0.022010886681361825,0.1804753592817664,Massachusetts,MA,-1.0048889895430768,-0.14165349841905917,3.063762731848142,1
22,69183.0,38952.0,0.4658,10037261.0,40.5,236100.0,26,2023,0.022450048872894708,0.07348140095191308,Michigan,MI,1.1051596880359422,0.14119085732235068,-0.4439945849452835,2
23,85086.0,46530.0,0.4541,5737915.0,39.1,328600.0,27,2023,0.016670689614607395,0.08632961624562233,Minnesota,MN,-1.0359236888145438,0.7942782231530363,-0.13529250489967812,0
24,54203.0,30807.0,0.4843,2939690.0,39.3,169800.0,28,2023,0.021987692579829847,0.02556902258401396,Mississippi,MS,1.6349435630165936,-0.3458120255970546,-2.3321849364782743,2
25,68545.0,38699.0,0.4608,6196156.0,39.3,233600.0,29,2023,0.01757428315232864,0.04790583064725937,Missouri,MO,0.1516692925995755,0.5374317456953847,-1.3814746140467,0
26,70804.0,40197.0,0.4601,1132812.0,40.6,392300.0,30,2023,0.013866378534125697,0.021736175111139358,Montana,MT,-0.20493083865209435,1.969019501817384,-1.1985365767101595,0
27,74590.0,41436.0,0.4634,1978379.0,37.4,245200.0,31,2023,0.014343055602591819,0.07700294028596139,Nebraska,NE,-1.051713235292847,0.23357129480716218,-1.5856868656067644,0
28,76364.0,40463.0,0.4632,3194176.0,39.4,441100.0,32,2023,0.023297401270311966,0.1924687305896732,Nevada,NV,-0.19588342511693554,-0.7071760342396798,1.1918581898228449,1
29,96838.0,51587.0,0.4446,1402054.0,43.4,415400.0,33,2023,0.014372484939952385,0.06766715119389125,New Hampshire,NH,-0.9015641221870507,2.9833860016295533,0.8713564568810606,0
30,99781.0,52583.0,0.4794,9290841.0,40.4,461000.0,34,2023,0.025578631686840835,0.2422203759595068,New Jersey,NJ,-0.281453417383315,-0.6856442209431505,3.3135894237405394,1
31,62268.0,35510.0,0.4771,2114371.0,39.9,256300.0,35,2023,0.02259111575026332,0.10201473629746151,New Mexico,NM,1.3239342026985372,-0.3806813777027244,-0.9278730159823676,2
32,82095.0,48847.0,0.5157,19571216.0,40.2,420200.0,36,2023,0.025886638827142882,0.23084901827254883,New York,NY,1.515474624319427,-2.1633532468806917,2.830527927750205,1
33,70804.0,40414.0,0.4732,10835491.0,39.4,308600.0,37,2023,0.0202814990109816,0.09183958530351785,North Carolina,NC,0.44692533784301314,-0.3361282116053958,-0.3083776795816845,2
34,76525.0,42814.0,0.4451,783926.0,36.3,246700.0,38,2023,0.015421098420003929,0.03966700938609001,North Dakota,ND,-1.6623049081014447,0.430876459290431,-1.9415556832442173,0
35,67769.0,39395.0,0.4695,11785935.0,39.9,220200.0,39,2023,0.020651649614561764,0.05276314522352278,Ohio,OH,1.0259730844029913,0.0191888638121679,-0.8100052781528142,2
36,62138.0,34206.0,0.4737,4053824.0,37.1,208600.0,40,2023,0.021908449898170222,0.06113437583871426,Oklahoma,OK,0.3678794166283556,-0.9462799754966693,-1.8839703997587698,2
37,80160.0,44623.0,0.4636,4233358.0,40.7,484800.0,41,2023,0.021339324479526654,0.09606841660922606,Oregon,OR,-0.2764727197434461,0.755852497006896,0.7740707274629749,0
38,73824.0,42605.0,0.4774,12961683.0,41.1,259900.0,42,2023,0.021853720693524134,0.07956682785715405,Pennsylvania,PA,1.3004566229991372,0.0431251488768855,0.16555799022378928,2
39,84972.0,46525.0,0.4661,1095962.0,40.8,411800.0,44,2023,0.02555928034001179,0.14708174188521134,Rhode Island,RI,0.10826269436100402,0.5190983629457779,1.6374864731247947,1
40,67804.0,38097.0,0.4715,5373555.0,40.5,272900.0,45,2023,0.020988898410828585,0.058888017336753785,South Carolina,SC,0.8572264560073798,0.4018314958059179,-0.8257304186361472,2
41,71810.0,40263.0,0.462,919318.0,38.5,268200.0,46,2023,0.013860274681883744,0.043448512919359784,South Dakota,SD,-0.6785308110803585,0.9260003826640038,-1.7842540553974944,0
42,67631.0,38538.0,0.476,7126489.0,39.1,307300.0,47,2023,0.019937026493691355,0.060621717089579454,Tennessee,TN,0.43303194418282165,-0.20357025016059205,-0.9185954759003597,2
43,75780.0,39775.0,0.479,30503301.0,35.9,296900.0,48,2023,0.022491139565517845,0.17884267673193796,Texas,TX,0.375823645353047,-3.7919986572173925,0.5640942307742158,1
44,93421.0,40096.0,0.4225,3417734.0,32.3,517700.0,49,2023,0.01774538334463712,0.08888462355467101,Utah,UT,-4.086032212199477,-0.7009814729093069,-1.1073531166783726,0
45,81211.0,46029.0,0.4549,647464.0,43.7,332000.0,50,2023,0.014317398341838311,0.04486272595850889,Vermont,VT,0.13978201743193863,2.760272301775607,-0.11358881644353179,0
46,89931.0,48689.0,0.4723,8715698.0,39.3,382900.0,51,2023,0.018889020707234232,0.13349315224093355,Virginia,VA,-0.7954586748540559,-0.05226639902023165,0.9988684647927131,1
47,94605.0,52011.0,0.4703,7812880.0,38.6,576000.0,53,2023,0.023344016547035152,0.15537586651785257,Washington,WA,-1.435908668974022,-0.616252464360796,2.0750510710154115,1
48,55948.0,32766.0,0.4679,1770071.0,42.8,163700.0,54,2023,0.020255119709887342,0.018262544270823036,West Virginia,WV,2.0183942442700116,1.3118649582678252,-1.8689229216146361,2
49,74631.0,41785.0,0.4479,5910955.0,40.5,272500.0,55,2023,0.0147114975498883,0.05208955236505776,Wisconsin,WI,-0.3184249007166395,1.550590085596378,-1.000697053940815,0
50,72415.0,39966.0,0.4455,584057.0,39.3,298700.0,56,2023,0.01630320328324119,0.036431375704768544,Wyoming,WY,-0.7029017456797579,1.285683194734336,-1.4163741626064847,0
51,25621.0,17976.0,0.5483,3205691.0,45.0,131500.0,72,2023,0.03731925503736948,0.026257053471466837,,,6.522529281304882,-2.9951513289622316,-2.7594394119773322,2
