State Name,Enplanements,Median Household Income,Per Capita Income,Gini Index of Income Inequality,Total Population,Median Home Value,State Code (FIPS),Year,Unemployment Rate,Percent Foreigners,State Code (USPS),PC1,PC2,PC3
Alabama,669767.75,62212.0,35046.0,0.4771,5108468.0,216600.0,01,2023,0.018803876230603773,0.039765933739821804,AL,-1.767545272551011,1.0626208748954686,-0.39655360895117286
Alaska,211240.47619047618,86631.0,45792.0,0.4492,733406.0,347500.0,02,2023,0.02386808943477419,0.0744076268806091,AK,0.12157710645255904,-1.0086244828922162,-0.5866593799203557
Arizona,12272662.5,77315.0,41290.0,0.465,7431344.0,411200.0,04,2023,0.020882494472063196,0.13199859944580683,AZ,0.35704750848810907,0.01650153356599578,0.37321243877870824
Arkansas,1096748.0,58700.0,33012.0,0.474,3067732.0,195700.0,05,2023,0.019463890587574143,0.052918573069616254,AR,-2.005391338190404,1.1813279465390656,-0.4278211188351393
California,5954075.933333334,95521.0,48013.0,0.487,38965193.0,725800.0,06,2023,0.028508931034936746,0.273064655422084,CA,5.34891379309907,1.8981343614702253,2.736927560496326
Colorado,5431622.857142857,92911.0,51768.0,0.4575,5877610.0,550300.0,08,2023,0.021154176612602743,0.09580441710150894,CO,1.4005241064861926,-1.57975470493496,-0.05862577604875206
Connecticut,1779898.5,91665.0,53119.0,0.4954,3617176.0,367800.0,09,2023,0.025086697467858906,0.16327875668753747,CT,2.285550338117372,0.2864786635387232,-1.467210351583181
District of Columbia,9853241.5,108210.0,78479.0,0.5163,678972.0,715500.0,11,2023,0.03149761698567835,0.14055807897822,DC,5.797098589020081,-1.048575697908225,-3.6681128362259585
Florida,5814655.571428572,73311.0,41902.0,0.4829,22610726.0,381000.0,12,2023,0.020342071280683337,0.22099573450228888,FL,1.5646304699558313,1.7202997326631615,1.682970924504612
Georgia,11743640.0,74632.0,39685.0,0.4787,11029227.0,323000.0,13,2023,0.02243049308895356,0.11555315707982074,GA,0.3008450420791126,1.0956520880058882,0.10273022768509141
Hawaii,3362938.8,95322.0,43794.0,0.4512,1435138.0,846400.0,15,2023,0.017018572429968407,0.17820934293426835,HI,1.8225461766305602,-2.6988883674885007,1.1263123529584709
Idaho,886164.6666666666,74942.0,37426.0,0.4404,1964726.0,428600.0,16,2023,0.01776023730535454,0.057009985107338124,ID,-1.279594343132278,-1.260112185502342,0.5885747124736601
Illinois,10045260.0,80306.0,45043.0,0.481,12549689.0,263300.0,17,2023,0.02498316890561989,0.14971606069281876,IL,1.1845660708256227,1.287277955287399,-0.14172126965040488
Indiana,1428673.75,69477.0,37299.0,0.4536,6862199.0,225900.0,18,2023,0.018648832538957265,0.06304859418970508,IN,-1.5259033718820865,0.15298129592138257,0.42978802817323064
Iowa,562314.5,71433.0,39518.0,0.4464,3207004.0,213300.0,19,2023,0.014709367372164175,0.05881034136533662,IA,-2.023162272809335,-0.7718434607524911,0.4976998824659456
Kansas,842987.0,70333.0,38361.0,0.4518,2940547.0,219800.0,20,2023,0.01695840943878809,0.07053823659339571,KS,-1.729422758984094,-0.33091800083629447,0.25860237173952316
Kentucky,1466315.5,61118.0,34676.0,0.4759,4526154.0,211800.0,21,2023,0.019762252897272164,0.04455703451539651,KY,-1.7471313716612935,1.1531646152787833,-0.4656891319374994
Louisiana,1440632.2,58229.0,34102.0,0.4967,4573749.0,215600.0,22,2023,0.02275901016868219,0.04868478790593887,LA,-1.2284997775762103,2.162631703729479,-1.2109107918665294
Maine,730884.5,73733.0,42936.0,0.4509,1395722.0,310700.0,23,2023,0.016615773055092632,0.03829415886544742,ME,-1.4579571196812846,-1.0362059540857633,-0.09543985743893688
Maryland,12175468.0,98678.0,50728.0,0.4561,6180253.0,413600.0,24,2023,0.0213902246396709,0.17020193186266,MD,1.7039667448947549,-1.2900868836251056,0.29689367157416297
Massachusetts,8123009.5,99858.0,55897.0,0.4879,7001399.0,570800.0,25,2023,0.022010886681361825,0.1804753592817664,MA,3.092516522471694,-0.8310007932673485,-0.5279613204408238
Michigan,2383196.8571428573,69183.0,38952.0,0.4658,10037261.0,236100.0,26,2023,0.022450048872894708,0.07348140095191308,MI,-0.6849667236941079,0.9923328004448694,0.06326508220131256
Minnesota,5257828.666666667,85086.0,46530.0,0.4541,5737915.0,328600.0,27,2023,0.016670689614607395,0.08632961624562233,MN,-0.2994078079907932,-1.1559522370344808,0.34159836468570787
Mississippi,501425.5,54203.0,30807.0,0.4843,2939690.0,169800.0,28,2023,0.021987692579829847,0.02556902258401396,MS,-2.1450200259510392,1.9568161840272273,-0.9981913701170858
Missouri,4440790.333333333,68545.0,38699.0,0.4608,6196156.0,233600.0,29,2023,0.01757428315232864,0.04790583064725937,MO,-1.587830226753268,0.15599129060264988,0.1402705027100309
Montana,473108.1666666667,70804.0,40197.0,0.4601,1132812.0,392300.0,30,2023,0.013866378534125697,0.021736175111139358,MT,-1.728073258391821,-1.0475428543545535,-0.017231658305283972
Nebraska,1297978.5,74590.0,41436.0,0.4634,1978379.0,245200.0,31,2023,0.014343055602591819,0.07700294028596139,NE,-1.4216238481271208,-0.600131214396433,0.028851286761915913
Nevada,14216007.0,76364.0,40463.0,0.4632,3194176.0,441100.0,32,2023,0.023297401270311966,0.1924687305896732,NV,0.8616223118368952,0.045669870594365655,0.2088183033898576
New Hampshire,644636.0,96838.0,51587.0,0.4446,1402054.0,415400.0,33,2023,0.014372484939952385,0.06766715119389125,NH,-0.059946929150798384,-2.7235212569475817,0.19961103660356827
New Jersey,17292936.0,99781.0,52583.0,0.4794,9290841.0,461000.0,34,2023,0.025578631686840835,0.2422203759595068,NJ,3.35148089336018,-0.12092275077832594,-0.05104274726041752
New Mexico,2604961.0,62268.0,35510.0,0.4771,2114371.0,256300.0,35,2023,0.02259111575026332,0.10201473629746151,NM,-0.9197126200598142,1.242448689798167,-0.6488857517274582
New York,3167695.1666666665,82095.0,48847.0,0.5157,19571216.0,420200.0,36,2023,0.025886638827142882,0.23084901827254883,NY,3.3179185893432463,2.3835070809700296,-0.09364352859539442
North Carolina,4813540.285714285,70804.0,40414.0,0.4732,10835491.0,308600.0,37,2023,0.0202814990109816,0.09183958530351785,NC,-0.2908670770014013,0.8115689543080409,0.22873550362643016
North Dakota,254794.5,76525.0,42814.0,0.4451,783926.0,246700.0,38,2023,0.015421098420003929,0.03966700938609001,ND,-1.7646778325020336,-1.2949624419412882,0.06161210893969371
Ohio,2324355.1666666665,67769.0,39395.0,0.4695,11785935.0,220200.0,39,2023,0.020651649614561764,0.05276314522352278,OH,-0.9576891473315094,1.064040422915027,0.1295741592940731
Oklahoma,1852251.5,62138.0,34206.0,0.4737,4053824.0,208600.0,40,2023,0.021908449898170222,0.06113437583871426,OK,-1.4712407674796608,1.2827168763326555,-0.5263469881318124
Oregon,3022271.6666666665,80160.0,44623.0,0.4636,4233358.0,484800.0,41,2023,0.021339324479526654,0.09606841660922606,OR,0.48186459868346215,-0.6263054551365119,-0.16349492330541285
Pennsylvania,2930786.1666666665,73824.0,42605.0,0.4774,12961683.0,259900.0,42,2023,0.021853720693524134,0.07956682785715405,PA,-0.012571218504378512,1.107355798633829,-0.020235497057801113
Rhode Island,1731554.0,84972.0,46525.0,0.4661,1095962.0,411800.0,44,2023,0.02555928034001179,0.14708174188521134,RI,1.2406232735999192,-0.32222843294443815,-0.7423057300099472
South Carolina,1635193.5,67804.0,38097.0,0.4715,5373555.0,272900.0,45,2023,0.020988898410828585,0.058888017336753785,SC,-0.9953025489993342,0.7191119325142845,-0.3791624776433116
South Dakota,500313.5,71810.0,40263.0,0.462,919318.0,268200.0,46,2023,0.013860274681883744,0.043448512919359784,SD,-1.8574040988553213,-0.7219543458179324,-0.09322442270989734
Tennessee,3103555.6,67631.0,38538.0,0.476,7126489.0,307300.0,47,2023,0.019937026493691355,0.060621717089579454,TN,-0.8424861164615414,0.7697097083165036,-0.22969846833324797
Texas,5727010.533333333,75780.0,39775.0,0.479,30503301.0,296900.0,48,2023,0.022491139565517845,0.17884267673193796,TX,1.4135764884260704,2.385446333752219,2.1120239289890828
Utah,12277651.0,93421.0,40096.0,0.4225,3417734.0,517700.0,49,2023,0.01774538334463712,0.08888462355467101,UT,-0.28477405675145334,-2.5654970682105107,1.3727751074882955
Vermont,649014.0,81211.0,46029.0,0.4549,647464.0,332000.0,50,2023,0.014317398341838311,0.04486272595850889,VT,-1.132345964400447,-1.5846152034914067,-0.12973708314138796
Virginia,1280296.5,89931.0,48689.0,0.4723,8715698.0,382900.0,51,2023,0.018889020707234232,0.13349315224093355,VA,1.0532239536037573,-0.5249117193884697,0.16001291737904275
Washington,8084969.666666667,94605.0,52011.0,0.4703,7812880.0,576000.0,53,2023,0.023344016547035152,0.15537586651785257,WA,2.440408704454858,-0.9036021342409709,-0.08070904809192073
West Virginia,97306.33333333333,55948.0,32766.0,0.4679,1770071.0,163700.0,54,2023,0.020255119709887342,0.018262544270823036,WV,-2.507213160811006,1.1115636854400843,-0.6570780345222044
Wisconsin,963269.6,74631.0,41785.0,0.4479,5910955.0,272500.0,55,2023,0.0147114975498883,0.05208955236505776,WI,-1.5678878589359213,-0.9101958920211602,0.630957526883517
Wyoming,494652.0,72415.0,39966.0,0.4455,584057.0,298700.0,56,2023,0.01630320328324119,0.036431375704768544,WY,-1.8448523672085784,-1.0869968615482133,0.10587517204908561
