Objectid,Year,Airport Code,Enplanements,Passengers,Departures,Arrivals,Freight,Mail,Airport Name,City,State Code (USPS),State Name,State Code (FIPS)
1,2023,ATL,44721151,44940145,340757,340435.0,320592384,17033732,Hartsfield International, Atlanta,GA,Georgia,13.0
2,2023,DEN,35892655,36089755,307789,307873.0,257037213,12698972,Denver International, Denver,CO,Colorado,8.0
3,2023,DFW,33853033,33892107,297097,297129.0,442306764,22686642,Dallas/Ft.Worth International, Dallas/Ft. Worth,TX,Texas,48.0
4,2023,ORD,29305603,29379846,303030,302931.0,386208675,29107924,Chicago O'Hare International, Chicago,IL,Illinois,17.0
5,2023,LAS,26216256,26443518,202540,202475.0,89632420,2773334,McCarran International, Las Vegas,NV,Nevada,32.0
6,2023,LAX,26090601,26238051,206862,207597.0,839943095,84523282,Los Angeles International, Los Angeles,CA,California,6.0
7,2023,MCO,24741803,24850596,173211,173170.0,159978671,9388429,Orlando International, Orlando,FL,Florida,12.0
8,2023,CLT,23811326,23850449,229491,229508.0,135037884,8241202,Charlotte Douglas International, Charlotte,NC,North Carolina,37.0
9,2023,PHX,22624711,22839703,194163,193969.0,313904054,10722282,Phoenix Sky Harbor International, Phoenix,AZ,Arizona,4.0
10,2023,SEA,21814595,21824644,188020,188057.0,289647574,21823498,Seattle Tacoma International, Seattle,WA,Washington,53.0
11,2023,SFO,17430769,17463802,140715,140711.0,198723454,17025869,San Francisco International, San Francisco,CA,California,6.0
12,2023,EWR,17292936,17305863,155862,154183.0,474401542,11216365,Newark International, Newark,NJ,New Jersey,34.0
13,2023,IAH,16584020,16680987,161177,161231.0,314450720,14532148,George Bush Intercontinental, Houston,TX,Texas,48.0
14,2023,BOS,16110499,16122881,158573,158947.0,154638201,4895867,Logan International, Boston,MA,Massachusetts,25.0
15,2023,MSP,15552291,15578893,139143,139610.0,169604305,9785506,Minneapolis-St Paul International, Minneapls/St Paul,MN,Minnesota,27.0
16,2023,LGA,15243161,15243943,162666,162617.0,6230625,607467,LaGuardia, New York,NY,New York,36.0
17,2023,JFK,14313424,14327005,136529,136828.0,354994177,12371010,John F Kennedy International, New York,NY,New York,36.0
18,2023,MIA,14098955,14130365,109419,110449.0,383282162,13077590,Miami International, Miami,FL,Florida,12.0
19,2023,DTW,13866115,13889414,129328,129434.0,111796795,6270124,Detroit Metropolitan Wayne County, Detroit,MI,Michigan,26.0
20,2023,FLL,13360269,13398436,94992,94596.0,95342461,2755681,Ft Lauderdale-Hollywood International, Ft. Lauderdale,FL,Florida,12.0
21,2023,SLC,12277651,12325711,115156,114595.0,168377936,12238423,Salt Lake City International, Salt Lake City,UT,Utah,49.0
22,2023,BWI,12175468,12432912,101131,101349.0,219020511,3327948,Baltimore/Washington International, Baltimore,MD,Maryland,24.0
23,2023,DCA,12160108,12190554,141311,141359.0,1176302,46,Ronald Reagan Washington National, Washington,DC,District of Columbia,11.0
24,2023,PHL,11888190,11916371,117661,118036.0,391998786,9781345,Philadelphia International, Philadelphia,PA,Pennsylvania,42.0
25,2023,SAN,11739198,11873841,94317,94351.0,107906552,3519993,San Diego International-Lindberg, San Diego,CA,California,6.0
26,2023,TPA,11094452,11204186,86324,86317.0,135250652,5400050,Tampa International, Tampa,FL,Florida,12.0
27,2023,BNA,11029844,11266465,102409,102303.0,64949368,42888,Nashville International, Nashville,TN,Tennessee,47.0
28,2023,AUS,10336419,10601453,97336,97322.0,109158945,1024083,Austin-Bergstrom International, Austin,TX,Texas,48.0
29,2023,MDW,10287721,10541877,84356,84304.0,19396908,271667,Chicago Midway, Chicago,IL,Illinois,17.0
30,2023,HNL,8683570,8712287,84008,84342.0,403171072,48837780,Honolulu International, Honolulu,HI,Hawaii,15.0
31,2023,DAL,8552790,8876445,78580,78500.0,14438259,171210,Dallas Love Field, Dallas/Ft. Worth,TX,Texas,48.0
32,2023,PDX,7746872,7757400,76692,77234.0,268899131,11417331,Portland International, Portland,OR,Oregon,41.0
33,2023,IAD,7546375,7591255,79997,80397.0,96222856,1905159,Washington Dulles International, Washington,DC,District of Columbia,11.0
34,2023,STL,7090532,7314688,70192,70238.0,75058788,79429,Lambert-St Louis International, St. Louis,MO,Missouri,29.0
35,2023,RDU,6898810,6949266,64234,64443.0,76492817,2221762,Raleigh-Durham International, Raleigh/Durham,NC,North Carolina,37.0
36,2023,HOU,6319568,6545645,56537,56476.0,11606669,64606,William P Hobby, Houston,TX,Texas,48.0
37,2023,MSY,6190371,6279486,53282,53544.0,49765884,1541794,New Orleans International, New Orleans,LA,Louisiana,22.0
38,2023,SMF,6181416,6265950,57861,58125.0,119198128,749828,Sacramento Executive, Sacramento,CA,California,6.0
39,2023,SJC,5603226,5739903,54200,54069.0,36828707,2003,San Jose International, San Jose,CA,California,6.0
40,2023,MCI,5599391,5721382,52399,52450.0,110004470,2001070,Kansas City International, Kansas City,MO,Missouri,29.0
41,2023,SNA,5524075,5543966,48705,48596.0,24451921,13125,John Wayne/Orange County, Orange County,CA,California,6.0
43,2023,OAK,5263628,5383898,58630,58705.0,540965049,6243037,Oakland International, Oakland,CA,California,6.0
44,2023,SAT,5025756,5122138,43710,43524.0,100109244,3038820,San Antonio International, San Antonio,TX,Texas,48.0
45,2023,RSW,4808645,4863541,36077,36007.0,17515300,3120,Southwest Florida International, Ft. Myers,FL,Florida,12.0
46,2023,IND,4745453,4800015,60368,59735.0,897236215,613100,Indianapolis International, Indianapolis,IN,Indiana,18.0
47,2023,CLE,4698879,4731626,44295,44150.0,73541734,1585795,Cleveland-Hopkins International, Cleveland,OH,Ohio,39.0
48,2023,PIT,4401834,4447483,49158,49233.0,77240108,3503051,Pittsburgh International, Pittsburgh,PA,Pennsylvania,42.0
49,2023,CVG,4180954,4203774,65037,65663.0,1348618837,335112,Cincinnati/Northern Kentucky International, Cincinnati,OH,Ohio,39.0
50,2023,CMH,4058660,4105440,43059,43087.0,5020841,1067258,Port Columbus International, Columbus,OH,Ohio,39.0
51,2023,PBI,3784830,3807663,29227,29201.0,24909945,196,Palm Beach International, West Palm Beach,FL,Florida,12.0
52,2023,JAX,3619011,3669716,32596,32799.0,68445114,3916139,Jacksonville International, Jacksonville,FL,Florida,12.0
53,2023,OGG,3592010,3606698,41434,41457.0,23053619,24635,Kahului, Kahului,HI,Hawaii,15.0
54,2023,BUR,3131724,3216980,37363,37256.0,35072782,3294,Burbank-Glendale-Pasadena, Burbank,CA,California,6.0
55,2023,BDL,3069721,3078662,28733,28806.0,149194148,2418584,Bradley International, Hartford,CT,Connecticut,9.0
56,2023,CHS,3031368,3048762,29332,29982.0,6537904,2,Charleston Air Force Base/International, Charleston,SC,South Carolina,45.0
57,2023,ONT,2971397,3029109,40119,39632.0,841106008,22754771,Ontario International, Ontario,CA,California,6.0
58,2023,MKE,2930774,2964828,31462,31217.0,57905325,121282,General Mitchell International, Milwaukee,WI,Wisconsin,55.0
59,2023,ANC,2619004,2621473,62911,58030.0,-1689819240,96335407,Anchorage International, Anchorage,AK,Alaska,2.0
60,2023,ABQ,2604961,2666871,28941,28901.0,54987443,184073,Albuquerque International, Albuquerque,NM,New Mexico,35.0
61,2023,OMA,2464275,2497082,25993,25908.0,48926933,1374234,Eppley Airfield, Omaha,NE,Nebraska,31.0
62,2023,RIC,2398692,2417594,27771,27964.0,85167932,47657,Richmond International, Richmond,VA,Virginia,51.0
63,2023,MEM,2397120,2427701,87507,85100.0,-395832323,9241741,Memphis International, Memphis,TN,Tennessee,47.0
64,2023,BOI,2368511,2378636,27240,27259.0,41116547,8181,Boise Air Terminal/Gowen Field, Boise,ID,Idaho,16.0
65,2023,ORF,2307572,2320245,24374,24411.0,21751011,0,Norfolk International, Norfolk/Virginia Beach,VA,Virginia,51.0
66,2023,BUF,2288407,2297108,24159,24225.0,34953197,0,Buffalo Niagra International, Buffalo,NY,New York,36.0
67,2023,SDF,2267379,2306084,70607,69674.0,-1623898386,124977368,Standiford Field, Louisville,KY,Kentucky,21.0
68,2023,RNO,2215758,2227713,23501,23310.0,68408487,899254,Reno Cannon International, Reno,NV,Nevada,32.0
69,2023,OKC,2133840,2211347,24398,24526.0,29115060,9712,Will Rogers World, Oklahoma City,OK,Oklahoma,40.0
70,2023,SRQ,2127753,2139417,16413,16432.0,127281,0,Sarasota/Bradenton, Sarasota/Bradenton,FL,Florida,12.0
71,2023,KOA,2055155,2061662,21244,21311.0,41430534,1187629,Kona International at Ke-Ahole, Kona,HI,Hawaii,15.0
72,2023,GEG,2002246,2007243,23196,24996.0,68688560,3327,Spokane International, Spokane,WA,Washington,53.0
73,2023,ELP,1995590,2040339,21682,21929.0,90827994,9445,El Paso International, El Paso,TX,Texas,48.0
74,2023,TUS,1920614,1938221,18181,18192.0,30081806,0,Tucson International, Tucson,AZ,Arizona,4.0
75,2023,SAV,1907440,1923270,20072,20088.0,6255079,0,Savannah International, Savannah,GA,Georgia,13.0
76,2023,GRR,1899233,1908353,19516,19319.0,37099317,0,Gerald R. Ford International, Grand Rapids,MI,Michigan,26.0
77,2023,LGB,1836026,1922722,16977,16999.0,17959459,2296,Long Beach, Long Beach,CA,California,6.0
78,2023,LIH,1799784,1800727,18376,18495.0,15552114,397549,Lihue, Kauai Island,HI,Hawaii,15.0
79,2023,PVD,1731554,1736776,18601,18567.0,11273455,0,T. F. Green International, Providence,RI,Rhode Island,44.0
80,2023,MYR,1658944,1668710,15149,15188.0,801404,0,Myrtle Beach International, Myrtle Beach,SC,South Carolina,45.0
81,2023,TUL,1570663,1620553,19470,19475.0,52019674,0,Tulsa International, Tulsa,OK,Oklahoma,40.0
82,2023,DSM,1518557,1536712,16298,16313.0,30771447,0,Des Moines International, Des Moines,IA,Iowa,19.0
83,2023,BHM,1498202,1539102,18214,18362.0,17577099,9139,Birmingham International, Birmingham,AL,Alabama,1.0
84,2023,PSP,1426980,1439191,14746,14754.0,320099,0,Palm Springs International, Indio/Palm Springs,CA,California,6.0
85,2023,SYR,1412664,1419788,17568,17611.0,41239651,904214,Syracuse Hancock International, Syracuse,NY,New York,36.0
87,2023,TYS,1382073,1391559,17876,17880.0,30805937,12800,McGhee Tyson, Knoxville,TN,Tennessee,47.0
88,2023,ALB,1376334,1386081,15891,16015.0,22993450,0,Albany County, Albany,NY,New York,36.0
89,2023,PNS,1365908,1375782,13472,13494.0,4701780,303,Pensacola Regional, Pensacola,FL,Florida,12.0
90,2023,ROC,1324900,1330113,17368,17658.0,31512719,0,Rochester International, Rochester,NY,New York,36.0
91,2023,GSP,1258495,1273977,15412,15545.0,28002142,0,Greenville-Spartanburg International, Greenville/Spartanburg,SC,South Carolina,45.0
93,2023,BZN,1229881,1232030,10630,10649.0,1856942,0,Gallatin Field, Bozeman,MT,Montana,30.0
94,2023,COS,1184727,1239145,13302,13334.0,8655313,0,Colorado Springs, Colorado Springs,CO,Colorado,8.0
95,2023,HPN,1152881,1153288,17673,17652.0,2278,0,Westchester County, White Plains,NY,New York,36.0
96,2023,AVL,1125467,1126000,12301,12302.0,7028,1251,Asheville Regional, Asheville,NC,North Carolina,37.0
97,2023,VPS,1116717,1118014,9140,9140.0,4379,3,Eglin Air Force Base, Valparaiso,FL,Florida,12.0
98,2023,PWM,1114432,1114865,13083,12856.0,9111567,0,Portland International Jetport, Portland,ME,Maine,23.0
99,2023,LIT,1096748,1115262,14330,14317.0,12145481,0,Adams Field, Little Rock,AR,Arkansas,5.0
100,2023,FAT,1039243,1042984,12066,12080.0,9937221,22140,Fresno Air Terminal, Fresno,CA,California,6.0
101,2023,MSN,1037760,1041951,12645,12719.0,12157379,0,Dane County Regional, Madison,WI,Wisconsin,55.0
105,2023,GSO,903476,910660,16136,15809.0,128622955,28051,Piedmont Triad International, Greensboro/High Point,NC,North Carolina,37.0
106,2023,ICT,842987,867007,11925,11956.0,24068798,2913,Wichita Mid-Continent, Wichita,KS,Kansas,20.0
107,2023,EUG,841916,842690,9511,9466.0,951387,0,Mahlon Sweet Field, Eugene,OR,Oregon,41.0
109,2023,HSV,723751,729263,12004,12011.0,32414160,23380,Huntsville International, Huntsville/Decatur,AL,Alabama,1.0
111,2023,CID,690801,691974,9104,9109.0,36156110,0,The Eastern Iowa, Cedar Rapids,IA,Iowa,19.0
112,2023,MAF,684271,700207,10049,10535.0,2339838,0,Midland International, Midland/Odessa,TX,Texas,48.0
113,2023,ITO,684175,684329,9109,9123.0,13325009,2,General Lyman Field, Hilo,HI,Hawaii,15.0
115,2023,LEX,665252,665744,8892,8887.0,5994,0,Blue Grass, Lexington/Frankfort,KY,Kentucky,21.0
116,2023,FSD,655230,657726,9405,9503.0,38492359,32639,Joe Foss Field, Sioux Falls,SD,South Dakota,46.0
117,2023,ILM,655115,657112,9029,9018.0,1327226,0,New Hanover International, Wilmington,NC,North Carolina,37.0
118,2023,MDT,654177,661148,9997,9799.0,60714170,0,Harrisburg International, Harrisburg,PA,Pennsylvania,42.0
119,2023,BTV,649014,649789,8960,9166.0,3143750,0,Burlington International, Burlington,VT,Vermont,50.0
120,2023,MHT,644636,645839,9422,9446.0,87488263,3601530,Manchester, Manchester,NH,New Hampshire,33.0
121,2023,ISP,640874,644939,5069,5085.0,133345,0,Long Island-MacArthur, Islip/Long Island,NY,New York,36.0
122,2023,SBA,638496,648209,8452,8500.0,865641,0,Santa Barbara Municipal, Santa Barbara,CA,California,6.0
123,2023,SGF,632448,634090,10008,10015.0,14592794,0,Springfield-Branson Regional, Springfield,MO,Missouri,29.0
124,2023,JAN,627274,656522,9644,9634.0,9008623,0,Jackson International, Jackson,MS,Mississippi,28.0
125,2023,DAY,593843,595604,10102,10108.0,6753888,0,James M Cox/Dayton International, Dayton,OH,Ohio,39.0
126,2023,CAE,591967,600455,11170,11197.0,44258404,306118,Columbia Metropolitan, Columbia,SC,South Carolina,45.0
128,2023,FAI,546443,548670,17654,17693.0,12409042,4927792,Fairbanks International, Fairbanks,AK,Alaska,2.0
129,2023,LBB,543242,553809,9451,9407.0,32564937,0,Lubbock International, Lubbock,TX,Texas,48.0
130,2023,FAR,520532,522441,9465,9038.0,37587392,0,Hector International, Fargo,ND,North Dakota,38.0
131,2023,MFE,511551,512119,4830,4842.0,8921445,0,McAllen Miller International, Mission/Mcallen,TX,Texas,48.0
132,2023,JAC,494652,494758,5255,5260.0,1568,0,Jackson Hole, Jackson,WY,Wyoming,56.0
133,2023,HRL,493261,493763,6336,6255.0,23290646,0,Rio Grande Valley International, Harlingen,TX,Texas,48.0
134,2023,HVN,490076,490077,3542,3538.0,0,0,Tweed-New Haven, New Haven,CT,Connecticut,9.0
135,2023,CHA,487862,492878,7655,7662.0,11009679,488,Lovell Field, Chattanooga,TN,Tennessee,47.0
136,2023,MFR,478027,478052,7642,7522.0,2940920,0,Rogue Valley International-Medford, Medford,OR,Oregon,41.0
137,2023,ATW,474881,475523,6741,6739.0,7210747,0,Outagamie County Regional, Appleton,WI,Wisconsin,55.0
138,2023,MSO,458300,458965,5514,5492.0,1738440,0,Missoula International, Missoula,MT,Montana,30.0
139,2023,FCA,456142,456502,5120,5144.0,1884771,0,Glacier Park International, Kalispell,MT,Montana,30.0
140,2023,PSC,438068,438896,6767,6011.0,1340058,0,Tri-Cities, Pasco,WA,Washington,53.0
142,2023,BIL,428755,431078,10473,10615.0,32858830,9044,Billings Logan International, Billings,MT,Montana,30.0
144,2023,ABE,419372,423043,6785,6629.0,147649056,0,Lehigh Valley International, Allentown,PA,Pennsylvania,42.0
145,2023,TLH,416321,421410,7148,7215.0,7654975,54,Tallahassee Regional, Tallahassee,FL,Florida,12.0
147,2023,SBN,411225,412171,6827,6840.0,9330049,0,South Bend Regional, South Bend,IN,Indiana,18.0
148,2023,AMA,397691,418824,5862,5860.0,65139,1061,Amarillo International, Amarillo,TX,Texas,48.0
149,2023,FWA,392834,394020,7032,7028.0,18664885,0,Ft. Wayne International, Ft. Wayne,IN,Indiana,18.0
150,2023,BTR,377394,380390,6070,6068.0,9273,0,Baton Rouge Metropolitan, Baton Rouge,LA,Louisiana,22.0
151,2023,GPT,375577,379929,4787,4792.0,887,0,Gulfport-Biloxi Regional, Gulfport,MS,Mississippi,28.0
152,2023,JNU,356438,444883,15562,15527.0,7448091,2941206,Juneau International, Juneau,AK,Alaska,2.0
153,2023,CRP,352099,354977,5537,5540.0,41392,0,Corpus Christi International, Corpus Christi,TX,Texas,48.0
154,2023,DAB,348034,349690,2969,2972.0,8537,0,Daytona Beach International, Daytona Beach,FL,Florida,12.0
155,2023,BGR,347337,350791,5533,5520.0,2179117,5199,Bangor International, Bangor,ME,Maine,23.0
156,2023,TVC,347167,347566,5130,5163.0,58466,0,Cherry Capital, Traverse City,MI,Michigan,26.0
157,2023,ROA,345521,346639,7005,7005.0,11131702,0,Roanoke Regional, Roanoke,VA,Virginia,51.0
158,2023,RAP,345397,349012,4799,4808.0,1228169,0,Rapid City Regional, Rapid City,SD,South Dakota,46.0
159,2023,CAK,343497,344026,4560,4555.0,93678,0,Akron-Canton, Akron/Canton,OH,Ohio,39.0
160,2023,GRB,330298,331550,5266,5261.0,46402,0,Austin Straubel International, Green Bay,WI,Wisconsin,55.0
164,2023,PIA,315325,316059,4537,4549.0,11272949,6603,Greater Peoria Regional, Peoria,IL,Illinois,17.0
167,2023,SHV,308646,311764,6524,6560.0,19507785,0,Shreveport Regional, Shreveport,LA,Louisiana,22.0
170,2023,FNT,281878,281878,3609,3413.0,14849932,0,Bishop International, Flint,MI,Michigan,26.0
171,2023,AGS,280318,290725,4881,4871.0,879,0,Augusta Regional, Augusta,GA,Georgia,13.0
172,2023,MOB,275321,275783,4531,4528.0,576,0,Mobile Regional, Mobile,AL,Alabama,1.0
173,2023,GNV,273194,273490,3966,3966.0,50569,0,Gainesville Regional, Gainesville,FL,Florida,12.0
174,2023,MLI,272391,273175,4219,4225.0,660,0,Quad-City International, Moline,IL,Illinois,17.0
175,2023,IDA,270131,271310,4172,4162.0,2596187,0,Fanning Field, Idaho Falls,ID,Idaho,16.0
176,2023,MRY,259495,259790,4473,4411.0,207347,0,Monterey Peninsula, Monterey,CA,California,6.0
177,2023,BIS,258342,258954,3989,4179.0,419961,0,Bismarck Municipal, Bismarck,ND,North Dakota,38.0
178,2023,MLB,249286,252053,2830,2837.0,12029,0,Melbourne International, Melbourne,FL,Florida,12.0
179,2023,MTJ,244158,250006,2921,2925.0,2,0,Montrose Regional, Montrose,CO,Colorado,8.0
182,2023,LFT,229797,229814,5048,5065.0,11439588,1,Lafayette Regional, Lafayette,LA,Louisiana,22.0
183,2023,EGE,226791,226791,3014,3015.0,0,285,Eagle County Regional, Eagle,CO,Colorado,8.0
184,2023,TRI,220879,222257,4072,4073.0,1795,0,Tri-Cities Regional, Bristol,TN,Tennessee,47.0
185,2023,DRO,217344,217508,4291,4500.0,255674,0,Durango-La Plata County, Durango,CO,Colorado,8.0
186,2023,HDN,206195,209027,2704,2669.0,115228,0,Yampa Valley, Steamboat Springs,CO,Colorado,8.0
187,2023,CRW,194831,195041,3680,3718.0,5326,0,Yeager, Charleston,WV,West Virginia,54.0
188,2023,MGM,181797,183184,3183,3189.0,158025,0,Montgomery Regional, Montgomery,AL,Alabama,1.0
189,2023,GTF,177263,177695,4598,4566.0,23170826,0,Great Falls International, Great Falls,MT,Montana,30.0
190,2023,BRO,176047,176158,3108,3110.0,134086,0,Brownsville/South Padre Island International, Brownsville,TX,Texas,48.0
191,2023,BFL,174865,175284,3001,3059.0,463274,0,Meadows Field, Bakersfield,CA,California,6.0
192,2023,AVP,173984,176145,2791,2782.0,6981,0,Wilkes-Barre/Scranton International, Scranton/Wilkes-Barre,PA,Pennsylvania,42.0
193,2023,FAY,167553,168247,2933,2939.0,409,0,Fayetteville Regional/Grannis Field, Fayetteville,NC,North Carolina,37.0
194,2023,EVV,165183,165938,3019,3207.0,73626,0,Evansville Regional, Evansville,IN,Indiana,18.0
196,2023,BET,153548,156105,39574,39682.0,5894591,16476243,Bethel, Bethel,AK,Alaska,2.0
198,2023,KTN,148645,228271,6746,6772.0,2678166,2114512,Ketchikan International, Ketchikan,AK,Alaska,2.0
200,2023,MOT,146569,146696,2632,2809.0,369559,0,Minot International, Minot,ND,North Dakota,38.0
206,2023,ACK,135520,135520,8776,9073.0,125308,210633,Nantucket Memorial, Nantucket,MA,Massachusetts,25.0
208,2023,OAJ,133035,133856,2451,2454.0,2034,0,Albert J Ellis, Jacksonville,NC,North Carolina,37.0
209,2023,LNK,131682,133028,2777,2781.0,17461,0,Lincoln Municipal, Lincoln,NE,Nebraska,31.0
210,2023,DLH,127822,128255,2390,2389.0,604874,0,Duluth International, Duluth,MN,Minnesota,27.0
217,2023,LAN,106844,107073,2594,2602.0,19515478,0,Capital City, Lansing,MI,Michigan,26.0
221,2023,MLU,96953,97002,1814,2011.0,12877,0,Monroe Regional, Monroe,LA,Louisiana,22.0
222,2023,SIT,96214,127013,4627,4655.0,2597403,278614,Sitka Rocky Gutierrez, Sitka,AK,Alaska,2.0
223,2023,GFK,93735,94044,1297,1300.0,0,0,Grand Forks International, Grand Forks,ND,North Dakota,38.0
225,2023,MBS,93530,94205,1988,1984.0,123892,0,MBS International, Saginaw,MI,Michigan,26.0
226,2023,RST,93373,96204,2162,2340.0,7839171,0,Rochester International, Rochester,MN,Minnesota,27.0
228,2023,HTS,88798,88801,1690,1943.0,6534768,0,Tri-State, Huntington,WV,West Virginia,54.0
229,2023,HLN,88308,88364,1691,1691.0,3899,0,Helena Regional, Helena,MT,Montana,30.0
231,2023,AZO,87611,87800,1619,1620.0,4,0,Kalamazoo/Battle Creek International, Kalamazoo,MI,Michigan,26.0
234,2023,ADQ,85183,85179,6477,6485.0,3010283,474756,Kodiak, Kodiak,AK,Alaska,2.0
235,2023,ELM,85017,85492,1271,1230.0,179888,0,Elmira/Corning Regional, Elmira,NY,New York,36.0
239,2023,SCC,82296,83301,2955,2881.0,6601641,6404754,Deadhorse, Deadhorse,AK,Alaska,2.0
241,2023,ABI,79820,83829,1902,2174.0,447481,0,Abilene Regional, Abilene,TX,Texas,48.0
242,2023,SWF,77283,78204,1263,1428.0,13467517,19401281,Stewart International, Newburgh,NY,New York,36.0
248,2023,TOL,70298,70741,942,949.0,9695014,0,Toledo Express, Toledo,OH,Ohio,39.0
251,2023,PHF,69401,70130,1500,1501.0,13047,0,Newport News/Williamsburg International, Newport News,VA,Virginia,51.0
254,2023,OME,66304,78388,9922,9936.0,4332990,7708302,Nome, Nome,AK,Alaska,2.0
255,2023,CSG,65651,66527,1550,1530.0,290949,0,Columbus Metropolitan, Columbus,GA,Georgia,13.0
258,2023,ITH,60775,60850,1398,1380.0,20070,0,Tompkins County, Ithaca,NY,New York,36.0
259,2023,OTZ,60124,77110,10332,10341.0,4834833,10348778,Ralph Wien Memorial, Kotzebue,AK,Alaska,2.0
271,2023,GUC,49490,49510,972,968.0,0,0,Gunnison County, Gunnison,CO,Colorado,8.0
272,2023,ERI,47160,47160,1054,1300.0,999,0,Erie International, Erie,PA,Pennsylvania,42.0
277,2023,LSE,42635,43170,1014,1011.0,243,0,La Cross Municipal, La Crosse,WI,Wisconsin,55.0
282,2023,BRW,41579,41642,3789,3893.0,1438628,2820635,Wiley Post-Will Rogers Memorial, Barrow,AK,Alaska,2.0
283,2023,AKN,37892,40327,5589,5581.0,8217806,816633,King Salmon, King Salmon,AK,Alaska,2.0
286,2023,BGM,36622,36622,737,738.0,0,0,Binghamton Regional, Binghamton,NY,New York,36.0
292,2023,DLG,34471,35084,6001,6028.0,1930923,3173328,Dillingham, Dillingham,AK,Alaska,2.0
305,2023,SUX,27086,27155,742,715.0,0,0,Sioux Gateway, Sioux City,IA,Iowa,19.0
313,2023,PSG,24921,55832,1614,1616.0,1399125,101387,Petersburg James A. Johnson, Petersburg,AK,Alaska,2.0
328,2023,TWF,19852,21891,852,1174.0,515776,0,Joslin Field-Magic Valley Regional, Twin Falls,ID,Idaho,16.0
336,2023,DUT,19201,19218,2559,2560.0,575676,313968,Dutch Harbor, Dutch Harbor,AK,Alaska,2.0
338,2023,CDV,18244,34878,1100,1100.0,1294615,92803,Cordova-Mile 13, Cordova,AK,Alaska,2.0
360,2023,WRG,14323,60100,1257,1257.0,874675,51284,Wrangell, Wrangell,AK,Alaska,2.0
373,2023,ALO,12814,13099,635,638.0,0,0,Waterloo Municipal, Waterloo,IA,Iowa,19.0
376,2023,YAK,12105,27532,1043,1054.0,1527826,8411,Yakutat, Yakutat,AK,Alaska,2.0
399,2023,GST,9580,9596,1231,1233.0,20897,22114,Gustavus, Gustavus,AK,Alaska,2.0
404,2023,LWB,8290,8290,600,601.0,11098,0,Greenbrier Valley, Lewisburg,WV,West Virginia,54.0
452,2023,KSM,4911,6713,2974,2902.0,491190,1259844,St Mary's Airport, St. Mary's,AK,Alaska,2.0
457,2023,ANI,4624,5221,3098,3093.0,689939,2733993,Aniak, Aniak,AK,Alaska,2.0
